,Show_Number,Air_Date,Round,Category,Value,Question,Answer,Float_Value,,
4362,3436,1999-07-12,Double Jeopardy!,THEIR COUNTRY'S LAST MONARCH,"$1,000",1910: King Manuel II,Portugal,1000,,
4368,3436,1999-07-12,Double Jeopardy!,THEIR COUNTRY'S LAST MONARCH,$1000,1947: Eastern Europe's King Michael,Romania,1000,,
4480,4700,2005-01-28,Double Jeopardy!,YOU HAD TO EXPECT OPERA,$1200,"King Solomon is a character in ""La Reine de Saba"", an opera about the queen of this place",Sheba,1200,,
4637,3060,1997-12-12,Jeopardy!,SOME MORE SIMIAN CINEMA,$400,"It's the island where Fay Wray first encountered King Kong; to think of its name, use your ""head""",Skull Island,400,,
4913,3331,1999-02-15,Double Jeopardy!,ASIAN NATIONS,$1000,"The Druk Gyalpo, or Dragon King, rules this neighbor of India that has a dragon on its flag",Bhutan,1000,,
4952,3003,1997-09-24,Double Jeopardy!,MUSICAL THEATRE,$200,"It's based on the memoir ""Anna And The King Of Siam""","""The King And I""",200,,
4953,3003,1997-09-24,Double Jeopardy!,"""PH""UN WORDS",$200,"Both England's King George V & FDR put their stamp of approval on this ""King of Hobbies""",Philately (stamp collecting),200,,
5086,3480,1999-10-22,Double Jeopardy!,THE FILM VAULT,$1000,"Stephen King not only wrote the script for this 1986 film about possessed machinery, he directed it",Maximum Overdrive,1000,,
5173,1658,1991-11-13,Jeopardy!,SHAKESPEARE,$500,"In ""King Lear"", she poisons her sister Regan, then stabs herself",Goneril,500,,
5503,2349,1994-11-17,Double Jeopardy!,ANCIENT HISTORY,$1000,This Old Kingdom capital of Egypt was originally named Hikouptah,Memphis,1000,,
5590,3537,2000-01-11,Jeopardy!,ANNIVERSARY GIFTS,$400,"19th century American ""King of the South"" that's a 2nd anniversary gift",Cotton,400,,
5649,3911,2001-09-10,Jeopardy!,LARRY KING'S PUBLIC FIGURES,$400,"A special Larry King tonight this ""wubbulous"" children's author & his thoughts on Rosie starring in his big Broadway show",Dr. Seuss,400,,
5968,2120,1993-11-19,Double Jeopardy!,WORLD HISTORY,$400,"On May 9, 1946 this country's King Victor Emmanuel abdicated in favor of his son Umberto",Italy,400,,
6137,3303,1999-01-06,Jeopardy!,LSU,$500,"""All The King's Men"" know this first poet laureate of the U.S. was editor of LSU's Southern Review",Robert Penn Warren,500,,
6225,4968,2006-03-29,Double Jeopardy!,MUSIC/TELEVISION,$2000,"Hey, now!  Elvis Costello sold Hank Kingsley a lemon of a sports car on this HBO comedy",The Larry Sanders Show,2000,,
6343,3517,1999-12-14,Double Jeopardy!,Y1K,$1000,"With the crowning of King Boleslaw, this central European nation is recognized as an independent state",Poland,1000,,
6384,776,1988-01-11,Double Jeopardy!,HISTORY,$600,"Before he was Canada's P.M., William Lyon Mackenzie King lived in this famous house with Jane Addams",Hull House (in Chicago),600,,
6390,776,1988-01-11,Double Jeopardy!,HISTORY,$800,"In 1962, this country became a constitutional monarchy under King Hassan II",Morocco,800,,
6463,3855,2001-05-11,Jeopardy!,STATE CAPITALS,$100,A statue of King Kamehameha I stands guard outside the judiciary building in this capital city,Honolulu,100,,
6472,3855,2001-05-11,Jeopardy!,THE KIDS LOVE THAT ROCK & ROLL,$200,"Of King Ad Rock, Thugmuffin C, MCA or Mike D, the one who's not a member of the Beastie Boys",Thugmuffin C,200,,
6622,4985,2006-04-21,Double Jeopardy!,"""DON'T"" YOU KNOW THIS SONG?",$1200,"No doubt you know this ""Tragic Kingdom"" tune was No. 1 for 16 weeks on the airplay chart in 1996 & '97","""Don't Speak""",1200,,
6677,6287,2012-01-10,Double Jeopardy!,MOTORCYCLE MAKERS,$800,"Baseball's Ichiro must be aware that this maker's B-King is the ""rowdy alter ego"" to its Hayabusa",Suzuki,800,,
6768,4306,2003-04-28,Jeopardy!,EDS,$800,"In order to marry a twice-divorced American woman, King Edward VIII of this country abdicated the throne in 1936",England,800,,
6875,958,1988-11-02,Jeopardy!,TRAVEL & TOURISM,$200,"Except when it's on tour, the most important King Tut collection is housed in this city",Cairo,200,,
7061,5476,2008-06-02,Jeopardy!,HIP-HOP & RAP,$600,"This ""King of Crunk"" is not to be confused with Lil' Wayne",Lil Jon,600,,
7283,2515,1995-07-07,Double Jeopardy!,1938,$1000,"On April 27, 1938 Countess Geraldine Apponyi of Hungary married King Zog of this country",Albania,1000,,
7308,4183,2002-11-06,Jeopardy!,"""H"" CITIES",$800,This capital was founded by Sweden's King Gustav I Vasa in 1550,"Helsinki, Finland",800,,
7385,3255,1998-10-30,Double Jeopardy!,CREATION STORIES,$400,"According to the King James Version, God's first words quoted in the book of Genesis","""Let there be light""",400,,
7532,6072,2011-01-25,Jeopardy!,MEN OF MUSIC,$400,"""King of the Waltz"" Johann Strauss Jr. wrote in other dance forms too, like the ""Tritsch-Tratsch"" this",the polka,400,,
7712,5146,2007-01-15,Jeopardy!,AFRICAN-AMERICANA,$200,"In 1964 Martin Luther King became the first African American named this magazine's ""Man of the Year""",Time,200,,
7879,3501,1999-11-22,Double Jeopardy!,CAMBRIDGE UNIVERSITY,$1000,"This great Flemish artist's ""Adoration of the Magi"" adorns King's College chapel",Peter Paul Rubens,1000,,
7889,1274,1990-03-01,Jeopardy!,NICKNAMES,$200,"""The King of Ragtime""",Scott Joplin,200,,
7901,1274,1990-03-01,Jeopardy!,NICKNAMES,$400,"""The Handcuff King""",Harry Houdini,400,,
8099,2679,1996-04-04,Double Jeopardy!,BRITISH POETS & POETRY,$400,"Prince Albert sent his copy of ""Idylls Of The King"" to this poet & asked him to autograph it",Alfred Lord Tennyson,400,,
8208,3898,2001-07-11,Jeopardy!,BIBLICAL CRIME BLOTTER,$500,"Wanted for treason against King David, he's known to have killed his half-brother for raping Tamar",Absalom,500,,
8254,1291,1990-03-26,Jeopardy!,MOVIE MUSICALS,$200,"Actor who sang ""If I Only Had The Nerve"" & ""If I Were King Of The Forest"" in ""The Wizard Of Oz""",Bert Lahr,200,,
8461,6135,2011-04-22,Double Jeopardy!,IT'S A COUP D'ETAT,$800,Carl Henrik Anckarsvard was the leader of the coup that overthrew King Gustav IV of this country,Sweden,800,,
8834,5397,2008-02-12,Double Jeopardy!,BLACK HISTORY MONTH,$2000,"In 1957 Martin Luther King helped establish this religious organization, the SCLC",Southern Christian Leadership Conference,2000,,
9009,3393,1999-05-12,Double Jeopardy!,ENGLISH ROYAL HENRYS,$600,King Henry III extensively rebuilt this abbey where he had been formally crowned in 1220,Westminster Abbey,600,,
9230,5153,2007-01-24,Jeopardy!,IF IT AIN'T GOT THAT SWING,$1000,"Cool, Daddy-O! The 1939 autobiography by this bandleader was titled ""The Kingdom of Swing""",Benny Goodman,1000,,
9308,3820,2001-03-23,Double Jeopardy!,BRITISH NOBILITY,"$1,000","As a boy in 1461, the future King Richard III was made Duke of this",Gloucester,1000,,
9323,6193,2011-07-13,Jeopardy!,WHO DO YOU THINK I AM?!,$200,I died around 965 B.C. & my son Solomon succeeded me as King of Israel,David,200,,
9352,6193,2011-07-13,Double Jeopardy!,THE 13th CENTURY,$400,Around 1250 this country's King Alfonso III reclaimed the Algarve from the Moors after 500 years of control,Portugal,400,,
10280,3205,1998-07-03,Double Jeopardy!,PEOPLE WITH FOOD NAMES,$800,"""King of the Hill""'s guitar-playing comedian Celery Head is a spoof of this red-haired prop comic",Carrot Top,800,,
10374,5623,2009-02-04,Jeopardy!,FUNERAL OFFICIANTS,$1000,Ralph Abernathy conducted his friend Martin Luther King Jr.'s funeral service at this church,Ebenezer Baptist Church,1000,,
10401,5623,2009-02-04,Double Jeopardy!,THE HAIRY APE,$2000,"He's the wise shaman baboon in ""The Lion King""",Rafiki,2000,,
10628,4935,2006-02-10,Double Jeopardy!,DID YOU READ YOUR BIBLE?,$800,1 of the 2 women with their own books in the standard King James Bible,Ruth (or Esther),800,,
10636,4935,2006-02-10,Double Jeopardy!,GOLDEN RULER,$1200,"King Pelias sent this man to search for the Golden Fleece, hoping he wouldn't return",Jason,1200,,
10904,3588,2000-03-22,Jeopardy!,PRESIDENTIAL FATHER'S DAY,$400,Leslie Lynch King,Gerald Ford,400,,
11305,4698,2005-01-26,Double Jeopardy!,WORD & PHRASE ORIGINS,$2000,"The concept ""an eye for an eye"" didn't originate in the Bible, but in this Babylonian King's ""Code""",Hammurabi,2000,,
11322,3795,2001-02-16,Jeopardy!,THE 1950s,$300,"After a 43-year reign, King Gustavus V of this country died at the age of 92",Sweden,300,,
11364,3795,2001-02-16,Double Jeopardy!,GOING TO A BETTER PLACE,$1000,"The land of heroes to King Arthur, it was the Island of the Blessed in Celtic myth",Avalon,1000,,
11424,5279,2007-07-19,Double Jeopardy!,THE OLD TESTAMENT,$2000,This heroine for whom a Bible book is named was married to King Ahasuerus of Persia,Esther,2000,,
11444,3136,1998-03-30,Jeopardy!,"""WALK""",$300,"This Bangles hit was aided by a ""King Tut"" video, & was later certified gold","""Walk Like An Egyptian""",300,,
11464,3136,1998-03-30,Double Jeopardy!,BIBLICAL ZOO,$400,"According to 1 Kings 10, Solomon imported apes & these eye-tailed birds",peacocks,400,,
11693,2903,1997-03-26,Jeopardy!,WORLD TRAVEL,$500,"When in Prague, you can visit the chapel of this ""Good King"" of Christmas carol fame",Wenceslas,500,,
11722,2903,1997-03-26,Double Jeopardy!,BRITISH MONARCHS,$1000,"King Edward VI was persuaded to will his crown to this ""lady"" rather than to one of his half-sisters",Lady Jane Grey,1000,,
11781,3209,1998-07-09,Double Jeopardy!,ALEXANDER HAMILTON,$1000,"In colonial times, this Ivy League school was called King's College when Hamilton went there",Columbia,1000,,
12141,2778,1996-10-02,Jeopardy!,PEOPLE,$300,"In 1995 Jordan's King Hussein eulogized this slain Israeli PM as ""a brother, a colleague and a friend""",(Yitzhak) Rabin,300,,
12435,4695,2005-01-21,Jeopardy!,HALLS OF FAME,$400,"Old King Cole could tell you there's a Gall of Fame for these musicians in Weiser, Idaho",fiddlers,400,,
12627,2341,1994-11-07,Jeopardy!,ENGLISH LIT.,"$1,100","He's the legendary king in Tennyson's ""Idylls of the King""",King Arthur,1100,,
13017,4348,2003-06-25,Jeopardy!,FIRST NOVELS,$200,Stephen King's first published novel was this tale of a tormented telekinetic teen,"""Carrie""",200,,
13052,4348,2003-06-25,Double Jeopardy!,THE WIZARDS,$800,"T.A. Barron wrote a 5-book epic on this wizard who's a big part of T.H. White's ""The Once and Future King""",Merlin,800,,
13365,5132,2006-12-26,Double Jeopardy!,1970s ALBUMS,$2000,"""I Feel The Earth Move"" is the first track on this 1971 Carole King album",Tapestry,2000,,
13480,4726,2005-03-07,Double Jeopardy!,LET'S VISIT PALAU!,$2000,"(<a href=""http://www.j-archive.com/media/2005-03-07_DJ_30.jpg"" target=""_blank"">Jeff Probst reads from the jungle of Palau.</a>)  Palau is part of this group of islands named for King Charles II of Spain",the Carolines,2000,,
13523,6196,2011-07-18,Double Jeopardy!,WATER CARRIERS,"$8,200",The 62-mile Kings River flume in California wasn't built for a theme park but to float these,logs,8200,,
13529,6196,2011-07-18,Double Jeopardy!,WATER CARRIERS,$1200,"Martin Luther King hoped for righteousness to roll down ""like a mighty"" this, not quite a river",a mighty stream,1200,,
13608,4988,2006-04-26,Jeopardy!,U.S. ISLANDS,$200,"This New York island is divided into 4 counties: Kings, Queens, Nassau & Suffolk",Long Island,200,,
13685,5862,2010-02-23,Jeopardy!,VEGAS CASINOS,$600,There's a SpongeBob SquarePants 4-D ride here, still trying to figure out the King Arthur's sword angle on that,Excalibur,600,
13784,1191,1989-11-06,Double Jeopardy!,ARCHAEOLOGY,$1000,This British earl who financed the King Tut excavation died 9 months before the sarcophagus was found,Lord Caernarvon,1000,,
13869,3854,2001-05-10,Jeopardy!,"YOU'RE THE MAN NOW, DOG!",$500,"You could say, ""You're the dog now, man"" to King Charles II, for whom a small breed of this dog was named",spaniel,500,,
14064,3621,2000-05-08,Double Jeopardy!,CELEBRITY ANCESTORS,"$1,000","Anna, of ""Anna And The King Of Siam"", was the great aunt of this legendary horror star, on his ""mummy's"" side",Boris Karloff,1000,,
14345,3402,1999-05-25,Double Jeopardy!,WEDDINGS,$200,"For your renewal ceremony in Vegas, Pete Willcox will officiate dressed as this man, ""The King!""",Elvis Presley,200,,
14381,5342,2007-11-27,Jeopardy!,FIRST NAMES,$400,Jennifer is a form of this other first name made famous by King Arthur's wife,Guinevere,400,,
14424,5342,2007-11-27,Double Jeopardy!,NASAL PASSAGES,$1600,"""Lightly was her slender nose tip-tilted like the petal of a flower"", he wrote in ""Idylls of the King""",Tennyson,1600,,
14714,3846,2001-04-30,Double Jeopardy!,REALLY BAD DATES,$600,King Charles II personally helped battle the fire that raged in this city in September 1666,London,600,,
14912,2832,1996-12-17,Jeopardy!,WORLD HISTORY,$100,"This country's King Louis IV was nicknamed ""Louis From Overseas"" because he was raised in England",France,100,,
15128,5327,2007-11-06,Double Jeopardy!,BROADWAY MUSICALS,$800,"One performer in ""The Lion King"" affectionately called her cheetah puppet this, in honor of a ""Chicago"" star",Cheetah Rivera,800,,
15318,2685,1996-04-12,Double Jeopardy!,DOWN FOR THE COUNT,$600,"Count Bernadotte, a diplomat & nephew of this country's King Gustav V, was assassinated in 1948",Sweden,600,,
15532,5468,2008-05-21,Jeopardy!,AROUND THE BIBLE,$800,"I Kings uses ""slept with his fathers"" as a euphemism for this",death (or died),800,,
15584,5200,2007-03-30,Jeopardy!,LITERARY OBITS,$400,"He is survived by Wiglaf & his sword, Naegling.  The Kingdom of Geats mourns after a dragon bite to his neck",Beowulf,400,,
15603,5200,2007-03-30,Jeopardy!,BEER COUNTRY OF ORIGIN,$1000,Kingfisher is a world-renowned brew from this country of Asia,India,1000,,
15678,6260,2011-12-02,Double Jeopardy!,"WHAT'S ON ""TAP""?",$1200,"The common bond that unites Carole King, the fabric industry & Bayeux",tapestries,1200,,
15742,3396,1999-05-17,Double Jeopardy!,SHAKESPEAREAN ACTORS,"$2,200","When he directed ""King Lear"" onstage in the early '90s, he cast Emma Thompson as the fool",Kenneth Branagh,2200,,
16085,5001,2006-05-15,Double Jeopardy!,HISTORIC AMOURS,$800,"Johann Struensee, physician to this country's King Christian VII, was executed for romancing the queen",Denmark,800,,
16093,5001,2006-05-15,Double Jeopardy!,BOHEMIAN RHAPSODIES,$1200,"Josef Suk arranged a meditation on an old carol about this Bohemian ""King"", the Czech patron saint","Wenceslas (""Wen'slas"" accepted)",1200,,
16296,3103,1998-02-11,Jeopardy!,"PRAISE THE ""LORD""",$200,"Hardly idle, this poet wrote over 10,000 lines of ""Idylls Of The King""",Alfred Lord Tennyson,200,,
16391,4344,2003-06-19,Double Jeopardy!,1901,$1200,"Robert Scott set off to explore this continent, where he named a peninsula for King Edward VII",Antarctica,1200,,
16459,6161,2011-05-30,Double Jeopardy!,BEST SUPPORTING ACTRESS OSCAR WINNERS,$1600,"She won for ""Tootsie"" , a few years after not even being nominated for ""King Kong""",Jessica Lange,1600,,
16507,5816,2009-12-21,Double Jeopardy!,"""BB"" BOOKS",$800,"O. Henry's first book was called these ""and Kings"", a reference to a Lewis Carroll poem",Cabbages,800,,
16719,3018,1997-10-15,Jeopardy!,100 _____ MAKE A....,$200,The United Kingdom's pound sterling breaks down into 100 of these,Pence,200,,
16947,4155,2002-09-27,Double Jeopardy!,"""E.B.""",$2000,"(Sarah of the Clue Crew reports from Atlanta)  Andrew Young said this church ""was the shelter; when there was an important meeting, we went to Daddy King's study there""",Ebenezer Baptist Church,2000,,
17000,5768,2009-10-14,Double Jeopardy!,TV TIME,$1600,Hey now!  Hank Kingsley was the bumbling sidekick on this HBO talk show sendup,The Larry Sanders Show,1600,,
17146,5841,2010-01-25,Jeopardy!,"IT IS WHAT IT ""IS""",$800,"Half of a pair of doomed lovers, she marries King Mark, but not before falling for the guy who came to get her",Isolde,800,,
17439,2969,1997-06-26,Jeopardy!,"""EX"" WORDS",$200,King Arthur's sword,Excalibur,200,,
17459,2969,1997-06-26,Double Jeopardy!,WORLD GEOGRAPHY,$200,Cardigan Bay indents the coastline of this United Kingdom principality,Wales,200,,
17592,731,1987-11-09,Double Jeopardy!,ANCIENT TIMES,$600,"The Minoan civilization, named for the mythological King Minos, was centered on this island",Crete,600,,
17661,5628,2009-02-11,Double Jeopardy!,ODDPODGE,$1600,"Mad King Otto of this German kingdom ""shot"" a peasant daily; unbeknownst to Otto, the gun held blanks",Bavaria,1600,,
17718,5770,2009-10-16,Double Jeopardy!,MOVIE DEBUTS,$1600,Timothy Dalton was 22 when Peter O'Toole helped him land the role of King Philip of France in this film,The Lion in Winter,1600,,
18045,3227,1998-09-22,Jeopardy!,"MORE THAN ""ONE"" MOVIE",$400,Carole King co-wrote the title song used in this George Clooney-Michelle Pfeiffer film,One Fine Day,400,,
18074,3227,1998-09-22,Double Jeopardy!,PUT 'EM IN ORDER,$800,"Ramses II, Nebuchadnezzar, King Solomon","Ramses II, King Solomon, Nebuchadnezzar",800,,
18106,4866,2005-11-07,Jeopardy!,DISNEY MOVIES BY CHARACTER,$1000,"1967: Baloo, Bagheera, King Louie",The Jungle Book,1000,,
18198,5280,2007-07-20,Double Jeopardy!,WAY BACK IN THE 1990s,$2000,"On Oct. 26, 1994 a peace treaty was signed between Israel & this country led by King Hussein I",Jordan,2000,,
18475,5052,2006-07-25,Double Jeopardy!,LITERARY ____ OF ____,$800,King Louis XI visits the Bastille in this Hugo novel,The Hunchback of Notre Dame,800,,
18515,3734,2000-11-23,Jeopardy!,"GIVING ""THANK""S",$300,"On Martin Luther King, Jr.'s gravestone these 3 words follow ""Free at Last, Free at Last...""","""Thank God Almighty""",300,,
18801,4612,2004-09-28,Jeopardy!,POP CULTURE,$200,"Appropriately, Stephen King is the creator of this 2004 series based on a Danish TV production",Kingdom Hospital,200,,
19621,5459,2008-05-08,Double Jeopardy!,"GET YOUR ""B.A.""",$2000,"In John 3, Jesus said, ""Except a man be"" this, ""he cannot see the Kingdom of God""",born again,2000,,
19757,4925,2006-01-27,Jeopardy!,THE SWEET 16th CENTURY,$600,"Crowned in 1523, Swedish King Gustav I ended the Kalmar Union of Sweden & these 2 countries",Norway & Denmark,600,,
19826,3723,2000-11-08,Jeopardy!,WHAT'S ON CABLE?,$400,"""Larry King Live""",CNN,400,,
20221,5906,2010-04-26,Double Jeopardy!,DOG BREEDS,$2000,The Cavalier King Charles spaniel is in this AKC group,toy,2000,,
20262,5688,2009-05-06,Double Jeopardy!,INDIE ROCK,$800,"Kingsizemaybe's song ""Dallas"" recalls the day of this man's assassination",JFK,800,,
20433,3665,2000-07-07,Jeopardy!,THE AMERICAN REVOLUTION,$500,"As prime minister, this lord carried out King George's taxation policies although he felt the measures were unwise",Lord North,500,,
20480,3170,1998-05-15,Jeopardy!,BOOKS & AUTHORS,$300,"In this Stephen King novel, author Paul Sheldon is held hostage by his No. 1 fan","""Misery""",300,,
20616,4880,2005-11-25,Jeopardy!,STEPHEN KING BOOKS,$1000,"A vampire takes over the title hamlet in this, King's second novel",Salem's Lot,1000,,
20636,4880,2005-11-25,Double Jeopardy!,"THE ""L"" IT IS!",$1200,"<a href=""http://www.j-archive.com/media/2005-11-25_DJ_04.jpg"" target=""_blank"">This</a> actress flowered on the 19th century stage & as the mistress of King Edward VII",Lillie Langtry,1200,,
20721,2849,1997-01-09,Jeopardy!,NOTABLE RELATIVES,$200,"This founder of a Washington, D.C. institution was descended from King Henry VII",James Smithson,200,,
20946,2683,1996-04-10,Double Jeopardy!,SHAKESPEAREAN POTPOURRI,"$1,000",Shakespeare's theatrical company became known as The King's Men in honor of this king's patronage,James I,1000,,
21277,5872,2010-03-09,Double Jeopardy!,"BIG ACTORS, SMALL ROLES",$800,"Voiced by John Cleese, King Harold of ""Shrek"" fame was originally one of these small creatures",frog,800,,
21392,5810,2009-12-11,Double Jeopardy!,REVOLUTIONARY ROAD,$400,"Historians don't know who fired first in Lexington, but later that day, the King's troops shot first in this town",Concord,400,,
21479,5874,2010-03-11,Double Jeopardy!,BIBLICAL MEGADEATHS,$2000,"II Kings recounts the slaughter by an angel of the Lord of 185,000 soldiers of this kingdom to the north of Israel",Assyria,2000,,
21511,4650,2004-11-19,Jeopardy!,"THE ""O.C.""",$1000,this man and his son ruled England following the execution of King Charles I,Oliver Cromwell,1000,,
21524,4650,2004-11-19,Double Jeopardy!,THE RENAISSANCE,"$2,000","King Philip II hated this artist's ""Martyrdom at St. Maurice"", so he never gained royal favor; he soon moved to Toledo",El Greco,2000,,
21782,3288,1998-12-16,Jeopardy!,"HAS ANYBODY SEEN MY ""GAL"" ?",$100,"In King Arthur's court he sat in the siege perilous, a seat reserved for the noblest of knights",Sir Galahad,100,,
21815,3288,1998-12-16,Double Jeopardy!,IF THEY WERE SUPERHEROES,$400,"This ""Butch Cassidy"" screenwriter would have the same powers as King Midas",(William) Goldman,400,,
21950,5308,2007-10-10,Double Jeopardy!,CALIFORNIA HERE I COME!,$2000,"This city really must be the Magic Kingdom! Here, Ducks become champions of pro hockey",Anaheim,2000,,
21995,2126,1993-11-29,Double Jeopardy!,EGYPTOLOGY,$600,"Egypt's capital during the Old Kingdom; its original name meant ""The White Wall""",Memphis,600,,
22076,6140,2011-04-29,Jeopardy!,STUPID ANSWERS,$200,"This Stephen King novel says, ""There was a clown in the stormdrain ... it was a clown, like in the circus or on TV""","""It""",200,,
22127,6140,2011-04-29,Double Jeopardy!,& AFTER,$1600,"After leading a 1969 coup that deposed King Idris, he was named Commander in Chief of Libya's Armed Forces",Gadhafi,1600,,
22312,5949,2010-06-24,Double Jeopardy!,DID YOU HEAR ABOUT THE MORGANS?,$2000,King Arthur's evil half-sister,Morgan le Fay,2000,,
22333,3245,1998-10-16,Jeopardy!,HORRORS!,$900,"(<a href=""http://www.j-archive.com/media/1998-10-16_J_12.jpg"" target=""_blank"">Hi, I'm Stephen King, Master of Horror.</a>)  In this 1979 film, Marlon Brando's character declares ""The horror!... The horror!""",Apocalypse Now,900,,
22925,4815,2005-07-08,Jeopardy!,HENRY,$600,"King Henry VIII had Anne Boleyn's head chopped off so he could take up with this lady-in-waiting, his next wife",Jane Seymour,600,,
23012,6069,2011-01-20,Double Jeopardy!,MARK TWAIN SHALL MEET,$1200,"...this poet, whose ""Idylls of the King"" started an Arthurian craze that inspired ""A Connecticut Yankee""",Tennyson,1200,,
23388,1795,1992-05-22,Jeopardy!,WIVES,$100,"In Geoffrey of Monmouth's version of this legend, this wife of King Arthur is called Guanhumara",Guinevere,100,,
23810,4862,2005-11-01,Jeopardy!,NAME THE YEAR,$400,William the Conqueror was crowned King of England in Westminster Abbey on Christmas Day in this year,1066,400,,
23825,4862,2005-11-01,Jeopardy!,"DR. PHIL, SHAKESPEAREAN COUNSELOR",$800,"Regan & Goneril got your inheritance, but you married the King of France; get over your daddy issues!",Cordelia,800,,
24076,3541,2000-01-17,Double Jeopardy!,THE WORDS OF MARTIN LUTHER KING,$200,"Dr. King said it's what we must let ring ""from every village and every hamlet, from every state and every city""",Freedom,200,,
24082,3541,2000-01-17,Double Jeopardy!,THE WORDS OF MARTIN LUTHER KING,$400,"King preached this ""is the greatest form of government...ever conceived"", but ""we have never touched it""",Democracy,400,,
24094,3541,2000-01-17,Double Jeopardy!,THE WORDS OF MARTIN LUTHER KING,$800,"From jail King wrote, ""We will reach...freedom in"" this city 'because the goal of America is freedom""",Birmingham,800,,
24147,4287,2003-04-01,Double Jeopardy!,THAT OLD-TIME RELIGION,$1200,Around 500 B.C. this country's King Darius I recognized Zoroastrianism,Persia,1200,,
24240,4265,2003-02-28,Jeopardy!,ROCK & ROLL JEOPARDY!,$1000,"Acclaimed playwright Israel Horovitz is the father of Adam Horovitz, AKA this group's King Ad-Rock",The Beastie Boys,1000,,
